,Rk,Player,Age,Pos,Date,Tm,Opp,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Binned PTS
0,1,Devin Booker,20-145,G,3/24/17,PHO,BOS,1,45,21,40,0.525,17,29,0.586,4,11,0.364,24,26,0.9229999999999999,2,6,8,6,3,1,5,3,70,54.5,60-70
1,2,Klay Thompson,26-301,G,12/5/16,GSW,IND,1,29,21,33,0.636,13,19,0.684,8,14,0.5710000000000001,10,11,0.909,0,2,2,1,0,0,0,0,60,46.2,50-60
2,3,Damian Lillard,26-267,G,4/8/17,POR,UTA,1,42,18,34,0.529,9,20,0.45,9,14,0.643,14,16,0.875,0,6,6,5,1,1,0,0,59,48.6,50-60
3,4,Russell Westbrook,28-115,G,3/7/17,OKC,POR,1,36,21,39,0.5379999999999999,18,30,0.6,3,9,0.33299999999999996,13,16,0.813,1,2,3,9,3,1,4,4,58,43.6,50-60
4,5,Russell Westbrook,28-137,G,3/29/17,OKC,ORL,1,42,21,40,0.525,15,25,0.6,6,15,0.4,9,11,0.818,3,10,13,11,3,0,7,3,57,44.2,50-60
5,6,DeMarcus Cousins,26-129,C-F,12/20/16,SAC,POR,1,41,17,28,0.607,12,20,0.6,5,8,0.625,16,17,0.941,1,12,13,1,1,3,5,5,55,42.9,50-60
6,7,James Harden,27-127,G,12/31/16,HOU,NYK,1,42,14,26,0.5379999999999999,5,10,0.5,9,16,0.563,16,18,0.889,3,13,16,17,0,0,8,2,53,48.7,50-60
7,8,Jimmy Butler,27-110,G-F,1/2/17,CHI,CHO,1,38,15,24,0.625,14,20,0.7,1,4,0.25,21,22,0.955,3,9,12,6,3,1,2,0,52,51.5,50-60
8,9,Isaiah Thomas,27-327,G,12/30/16,BOS,MIA,1,37,15,26,0.5770000000000001,6,13,0.462,9,13,0.6920000000000001,13,13,1.0,1,1,2,0,1,0,2,2,52,39.0,50-60
9,10,John Wall,26-091,G,12/6/16,WAS,ORL,1,42,18,31,0.581,13,23,0.565,5,8,0.625,11,14,0.7859999999999999,1,3,4,8,3,0,4,3,52,41.3,50-60
