Player,Age,Pos,Date,Tm,Opp,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Devin Booker,20-145,G,3/24/17,PHO,BOS,1,45,21,40,0.525,17,29,0.586,4,11,0.364,24,26,0.923,2,6,8,6,3,1,5,3,70,54.5
Klay Thompson,26-301,G,12/5/16,GSW,IND,1,29,21,33,0.636,13,19,0.684,8,14,0.571,10,11,0.909,0,2,2,1,0,0,0,0,60,46.2
Damian Lillard,26-267,G,4/8/17,POR,UTA,1,42,18,34,0.529,9,20,0.45,9,14,0.643,14,16,0.875,0,6,6,5,1,1,0,0,59,48.6
Russell Westbrook,28-115,G,3/7/17,OKC,POR,1,36,21,39,0.538,18,30,0.6,3,9,0.333,13,16,0.813,1,2,3,9,3,1,4,4,58,43.6
Russell Westbrook,28-137,G,3/29/17,OKC,ORL,1,42,21,40,0.525,15,25,0.6,6,15,0.4,9,11,0.818,3,10,13,11,3,0,7,3,57,44.2
DeMarcus Cousins,26-129,C-F,12/20/16,SAC,POR,1,41,17,28,0.607,12,20,0.6,5,8,0.625,16,17,0.941,1,12,13,1,1,3,5,5,55,42.9
James Harden,27-127,G,12/31/16,HOU,NYK,1,42,14,26,0.538,5,10,0.5,9,16,0.563,16,18,0.889,3,13,16,17,0,0,8,2,53,48.7
Jimmy Butler,27-110,G-F,1/2/17,CHI,CHO,1,38,15,24,0.625,14,20,0.7,1,4,0.25,21,22,0.955,3,9,12,6,3,1,2,0,52,51.5
Isaiah Thomas,27-327,G,12/30/16,BOS,MIA,1,37,15,26,0.577,6,13,0.462,9,13,0.692,13,13,1,1,1,2,0,1,0,2,2,52,39
John Wall,26-091,G,12/6/16,WAS,ORL,1,42,18,31,0.581,13,23,0.565,5,8,0.625,11,14,0.786,1,3,4,8,3,0,4,3,52,41.3
James Harden,27-154,G,1/27/17,HOU,PHI,1,39,16,28,0.571,10,17,0.588,6,11,0.545,13,14,0.929,1,12,13,13,2,1,5,4,51,46.9
Russell Westbrook,27-351,G,10/28/16,OKC,PHO,1,45,17,44,0.386,15,34,0.441,2,10,0.2,15,20,0.75,3,10,13,10,2,0,5,3,51,32.9
Russell Westbrook,28-148,G,4/9/17,OKC,DEN,1,37,17,32,0.531,12,20,0.6,5,12,0.417,11,11,1,2,14,16,10,1,0,2,1,50,45.6
Anthony Davis,23-229,F-C,10/26/16,NOP,DEN,1,41,17,34,0.5,17,32,0.531,0,2,0,16,17,0.941,1,14,15,5,5,4,3,4,50,44.2
Damian Lillard,26-247,G,3/19/17,POR,MIA,1,36,14,21,0.667,5,9,0.556,9,12,0.75,12,12,1,0,1,1,5,0,1,3,1,49,41
Russell Westbrook,28-054,G,1/5/17,OKC,HOU,1,38,16,34,0.471,8,19,0.421,8,15,0.533,9,11,0.818,1,7,8,5,2,0,5,2,49,33.3
Kyrie Irving,24-306,G,1/23/17,CLE,NOP,1,42,15,28,0.536,7,14,0.5,8,14,0.571,11,11,1,0,2,2,4,2,1,0,4,49,39.9
Russell Westbrook,28-111,G,3/3/17,OKC,PHO,1,38,14,30,0.467,11,18,0.611,3,12,0.25,17,18,0.944,1,16,17,9,3,0,4,4,48,41.4
Karl-Anthony Towns,21-015,C-F,11/30/16,MIN,NYK,1,42,15,22,0.682,15,19,0.789,0,3,0,17,20,0.85,3,15,18,2,1,3,4,2,47,42.7
Russell Westbrook,28-091,G,2/11/17,OKC,GSW,1,37,14,26,0.538,11,16,0.688,3,10,0.3,16,18,0.889,1,10,11,8,1,0,11,5,47,30.9
Andrew Wiggins,21-264,F-G,11/13/16,MIN,LAL,1,41,14,21,0.667,12,16,0.75,2,5,0.4,17,22,0.773,1,3,4,3,0,1,2,2,47,37.5
DeMarcus Cousins,26-170,C-F,1/30/17,SAC,PHI,1,32,11,16,0.688,7,10,0.7,4,6,0.667,20,22,0.909,4,11,15,5,1,1,8,6,46,39.3
Anthony Davis,24-000,F-C,3/11/17,NOP,CHO,1,45,18,31,0.581,14,26,0.538,4,5,0.8,6,8,0.75,4,17,21,3,0,1,0,1,46,41
Stephen Curry,28-238,G,11/7/16,GSW,NOP,1,36,16,26,0.615,3,9,0.333,13,17,0.765,1,2,0.5,3,2,5,5,2,0,4,2,46,37.2
Kyrie Irving,24-361,G,3/19/17,CLE,LAL,1,38,15,21,0.714,9,11,0.818,6,10,0.6,10,10,1,0,2,2,3,0,0,3,2,46,36.2
Russell Westbrook,28-037,G,12/19/16,OKC,ATL,1,35,16,33,0.485,13,23,0.565,3,10,0.3,11,13,0.846,2,9,11,7,1,0,4,2,46,33.7
Russell Westbrook,28-110,G,3/2/17,OKC,POR,1,37,12,36,0.333,6,20,0.3,6,16,0.375,15,15,1,2,5,7,4,1,1,4,0,45,28
Carmelo Anthony,32-245,F,1/29/17,NYK,ATL,1,46,18,36,0.5,15,27,0.556,3,9,0.333,6,7,0.857,0,6,6,4,0,1,3,6,45,26.5
Anthony Davis,23-231,F-C,10/28/16,NOP,GSW,1,40,17,31,0.548,16,29,0.552,1,2,0.5,10,14,0.714,6,11,17,3,2,2,1,2,45,39.7
