GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,45,21,40,17,29,4,11,24,26,2,6,8,6,3,1,5,3,70,54.5
1,29,21,33,13,19,8,14,10,11,0,2,2,1,0,0,0,0,60,46.2
1,42,18,34,9,20,9,14,14,16,0,6,6,5,1,1,0,0,59,48.6
1,36,21,39,18,30,3,9,13,16,1,2,3,9,3,1,4,4,58,43.6
1,42,21,40,15,25,6,15,9,11,3,10,13,11,3,0,7,3,57,44.2
1,41,17,28,12,20,5,8,16,17,1,12,13,1,1,3,5,5,55,42.9
1,42,14,26,5,10,9,16,16,18,3,13,16,17,0,0,8,2,53,48.7
1,38,15,24,14,20,1,4,21,22,3,9,12,6,3,1,2,0,52,51.5
1,37,15,26,6,13,9,13,13,13,1,1,2,0,1,0,2,2,52,39
1,42,18,31,13,23,5,8,11,14,1,3,4,8,3,0,4,3,52,41.3
1,39,16,28,10,17,6,11,13,14,1,12,13,13,2,1,5,4,51,46.9
1,45,17,44,15,34,2,10,15,20,3,10,13,10,2,0,5,3,51,32.9
1,37,17,32,12,20,5,12,11,11,2,14,16,10,1,0,2,1,50,45.6
1,41,17,34,17,32,0,2,16,17,1,14,15,5,5,4,3,4,50,44.2
1,36,14,21,5,9,9,12,12,12,0,1,1,5,0,1,3,1,49,41
1,38,16,34,8,19,8,15,9,11,1,7,8,5,2,0,5,2,49,33.3
1,42,15,28,7,14,8,14,11,11,0,2,2,4,2,1,0,4,49,39.9
1,38,14,30,11,18,3,12,17,18,1,16,17,9,3,0,4,4,48,41.4
1,42,15,22,15,19,0,3,17,20,3,15,18,2,1,3,4,2,47,42.7
1,37,14,26,11,16,3,10,16,18,1,10,11,8,1,0,11,5,47,30.9
1,41,14,21,12,16,2,5,17,22,1,3,4,3,0,1,2,2,47,37.5
1,32,11,16,7,10,4,6,20,22,4,11,15,5,1,1,8,6,46,39.3
