,PLAYER,POS,DATE,MP,PTS,GMSC
1396,Aaron Brooks,PG,3/21/16,15,2,2.9
2180,Aaron Brooks,PG,3/31/16,16,3,3.3
2586,Aaron Brooks,PG,3/2/16,17,7,4.4
2616,Aaron Brooks,PG,1/20/16,11,3,1.8
4051,Aaron Brooks,PG,3/16/16,9,8,4.3
4300,Aaron Brooks,PG,3/17/16,16,12,10.4
4851,Aaron Brooks,PG,2/3/16,11,3,-0.2
4881,Aaron Brooks,PG,11/5/15,13,9,5.6
5123,Aaron Brooks,PG,3/7/16,4,0,-2.1
5859,Aaron Brooks,PG,2/24/16,20,11,1.7
6442,Aaron Brooks,PG,4/13/16,3,0,-0.4
6665,Aaron Brooks,PG,2/27/16,11,6,1.8
6683,Aaron Brooks,PG,2/21/16,17,2,5
8651,Aaron Brooks,PG,1/22/16,20,4,-2
8697,Aaron Brooks,PG,1/9/16,5,0,-1.4
8931,Aaron Brooks,PG,3/26/16,18,6,3.1
9007,Aaron Brooks,PG,2/26/16,26,9,3.2
9093,Aaron Brooks,PG,1/11/16,16,10,8.4
10118,Aaron Brooks,PG,3/28/16,23,16,15
11039,Aaron Brooks,PG,2/5/16,18,6,5.7
11186,Aaron Brooks,PG,12/25/15,10,6,6.2
11452,Aaron Brooks,PG,4/2/16,16,14,7.9
11642,Aaron Brooks,PG,2/18/16,18,8,3.7
12153,Aaron Brooks,PG,3/14/16,17,7,3.2
12178,Aaron Brooks,PG,2/10/16,13,9,4.1
12644,Aaron Brooks,PG,3/24/16,18,6,4.6
12813,Aaron Brooks,PG,2/6/16,9,0,-1.8
13209,Aaron Brooks,PG,4/9/16,16,9,9.8
13253,Aaron Brooks,PG,3/29/16,20,7,5.4
13408,Aaron Brooks,PG,1/14/16,7,2,-2.1
13781,Aaron Brooks,PG,4/11/16,20,6,2.4
15088,Aaron Brooks,PG,1/31/16,17,2,0.2
15196,Aaron Brooks,PG,1/12/16,17,9,5.7
15404,Aaron Brooks,PG,12/10/15,21,10,5.9
15500,Aaron Brooks,PG,11/18/15,20,12,8.1
15613,Aaron Brooks,PG,10/30/15,18,5,5.2
15677,Aaron Brooks,PG,4/3/16,19,7,5.4
16182,Aaron Brooks,PG,3/23/16,16,10,9.9
16356,Aaron Brooks,PG,1/23/16,13,0,-1.2
16371,Aaron Brooks,PG,1/18/16,21,6,8.3
16454,Aaron Brooks,PG,12/12/15,19,17,12.7
16785,Aaron Brooks,PG,3/1/16,22,16,7.2
16973,Aaron Brooks,PG,12/30/15,41,29,17
17254,Aaron Brooks,PG,11/7/15,15,10,6.3
17645,Aaron Brooks,PG,1/15/16,7,2,0.3
17719,Aaron Brooks,PG,12/26/15,15,7,1.1
18300,Aaron Brooks,PG,4/5/16,12,3,0.4
18375,Aaron Brooks,PG,2/19/16,13,3,-1.8
18893,Aaron Brooks,PG,3/11/16,21,11,5.6
18941,Aaron Brooks,PG,2/8/16,20,4,-1.4
18984,Aaron Brooks,PG,1/28/16,18,6,2.1
19389,Aaron Brooks,PG,1/1/16,13,7,5.2
19706,Aaron Brooks,PG,11/13/15,6,1,1.6
19741,Aaron Brooks,PG,11/1/15,16,6,1
20073,Aaron Brooks,PG,10/27/15,16,6,-0.9
20242,Aaron Brooks,PG,12/28/15,27,17,12.1
20523,Aaron Brooks,PG,11/9/15,19,10,10.8
20800,Aaron Brooks,PG,12/2/15,9,2,0.7
21000,Aaron Brooks,PG,12/18/15,12,2,0.9
21410,Aaron Brooks,PG,12/21/15,14,8,6
21984,Aaron Brooks,PG,10/28/15,16,12,8.5
22144,Aaron Brooks,PG,1/3/16,25,5,3
22348,Aaron Brooks,PG,3/19/16,17,4,0.9
22699,Aaron Brooks,PG,12/14/15,7,4,2.3
22916,Aaron Brooks,PG,12/19/15,21,11,7.8
22942,Aaron Brooks,PG,12/16/15,17,7,1.3
23658,Aaron Brooks,PG,11/3/15,17,14,12.6
24381,Aaron Brooks,PG,1/25/16,33,13,11.8
24862,Aaron Brooks,PG,2/1/16,8,2,1.6
,Aaron Brooks Var,,,,26.25106564,
452,Aaron Gordon,SF,3/7/16,36,20,17.8
538,Aaron Gordon,SF,2/25/16,30,19,17.1
1751,Aaron Gordon,SF,3/11/16,27,20,15
2216,Aaron Gordon,SF,3/21/16,29,13,9
2336,Aaron Gordon,SF,3/4/16,16,4,0.1
2575,Aaron Gordon,SF,3/2/16,33,13,14.6
2694,Aaron Gordon,SF,3/15/16,27,16,14.1
2707,Aaron Gordon,SF,3/12/16,33,17,13.5
3378,Aaron Gordon,SF,3/1/16,19,7,7
3392,Aaron Gordon,SF,2/28/16,36,22,23.4
4342,Aaron Gordon,SF,3/8/16,28,5,6.8
5084,Aaron Gordon,SF,3/16/16,13,0,-2.3
5359,Aaron Gordon,SF,4/13/16,24,22,18.2
5472,Aaron Gordon,SF,3/18/16,31,7,5.9
5561,Aaron Gordon,SF,2/3/16,26,2,-0.9
5717,Aaron Gordon,SF,3/29/16,27,20,17.3
6579,Aaron Gordon,SF,3/20/16,18,6,5.4
7170,Aaron Gordon,SF,3/25/16,35,4,2.1
7684,Aaron Gordon,SF,3/31/16,20,6,3.9
7903,Aaron Gordon,SF,2/26/16,34,17,15.8
8154,Aaron Gordon,PF,11/21/15,21,6,5
8289,Aaron Gordon,SF,4/6/16,32,6,4.1
8303,Aaron Gordon,SF,4/1/16,32,14,10.3
8518,Aaron Gordon,SF,2/23/16,30,11,11.1
8914,Aaron Gordon,SF,3/26/16,27,9,10.9
10024,Aaron Gordon,PF,11/4/15,32,19,17.3
10584,Aaron Gordon,PF,12/23/15,12,14,11.6
10753,Aaron Gordon,SF,4/3/16,29,14,15.9
11209,Aaron Gordon,PF,12/9/15,12,5,6.3
11695,Aaron Gordon,SF,1/29/16,26,12,10.4
12018,Aaron Gordon,PF,11/3/15,4,2,-0.2
12557,Aaron Gordon,PF,10/30/15,18,15,13
13265,Aaron Gordon,SF,3/23/16,29,15,14.3
13317,Aaron Gordon,SF,2/5/16,29,6,6.7
14129,Aaron Gordon,PF,12/28/15,11,7,6.3
14262,Aaron Gordon,PF,11/18/15,14,5,6.1
14454,Aaron Gordon,SF,1/31/16,39,19,20.8
14749,Aaron Gordon,PF,11/14/15,32,12,11.1
14995,Aaron Gordon,SF,2/21/16,30,10,9.8
15018,Aaron Gordon,SF,2/10/16,30,4,7.5
15037,Aaron Gordon,SF,2/8/16,28,12,13
15251,Aaron Gordon,PF,1/1/16,25,6,7
15769,Aaron Gordon,SF,2/7/16,34,11,16.8
16033,Aaron Gordon,PF,12/1/15,13,7,4.1
16295,Aaron Gordon,SF,2/1/16,31,12,11.5
16644,Aaron Gordon,PF,10/28/15,17,12,12.3
17124,Aaron Gordon,PF,11/29/15,22,12,12.3
17472,Aaron Gordon,SF,2/19/16,28,7,10.2
17744,Aaron Gordon,PF,12/20/15,17,2,0.6
17761,Aaron Gordon,PF,12/18/15,12,2,2.8
17911,Aaron Gordon,PF,11/11/15,16,4,3.5
18997,Aaron Gordon,PF,1/9/16,30,10,12.2
19404,Aaron Gordon,PF,12/30/15,26,10,12.2
19605,Aaron Gordon,PF,11/27/15,18,2,1.4
19650,Aaron Gordon,PF,11/23/15,25,11,8.6
19738,Aaron Gordon,PF,11/1/15,25,4,3.5
19912,Aaron Gordon,PF,1/6/16,16,8,7.2
19969,Aaron Gordon,PF,12/21/15,11,0,2.2
20123,Aaron Gordon,PF,1/18/16,27,18,18.6
20205,Aaron Gordon,PF,1/4/16,25,2,2.9
20293,Aaron Gordon,PF,12/16/15,25,6,11.7
20376,Aaron Gordon,PF,12/5/15,21,10,9.2
20748,Aaron Gordon,PF,12/14/15,22,4,0
20911,Aaron Gordon,SF,1/26/16,37,9,9.7
21036,Aaron Gordon,PF,12/11/15,31,6,1.4
21280,Aaron Gordon,PF,1/22/16,24,10,8.9
21521,Aaron Gordon,PF,11/6/15,12,5,1.1
22075,Aaron Gordon,PF,1/20/16,32,7,5.8
22289,Aaron Gordon,PF,11/9/15,17,4,-1
22982,Aaron Gordon,PF,11/25/15,17,2,2
23432,Aaron Gordon,PF,1/14/16,7,0,-0.5
23813,Aaron Gordon,PF,12/26/15,11,2,4.8
24483,Aaron Gordon,PF,1/2/16,26,11,7.7
24606,Aaron Gordon,PF,12/3/15,6,2,2.8
24752,Aaron Gordon,PF,1/8/16,23,14,10.5
25008,Aaron Gordon,PF,11/7/15,22,10,11.3
25166,Aaron Gordon,SF,1/25/16,24,10,6.6
25566,Aaron Gordon,PF,11/13/15,27,10,11.5
,Aaron Gordon Var,,,,33.21162171,
2846,Aaron Harrison,PG,3/12/16,3,0,-1.1
3873,Aaron Harrison,PG,1/25/16,6,0,0
5370,Aaron Harrison,PG,4/13/16,16,6,6.3
6467,Aaron Harrison,PG,4/11/16,1,0,-1
6818,Aaron Harrison,PG,1/2/16,4,0,0
7322,Aaron Harrison,PG,3/1/16,8,2,-1.7
7896,Aaron Harrison,PG,3/2/16,2,3,3
8252,Aaron Harrison,PG,4/8/16,2,0,0.3
8511,Aaron Harrison,PG,2/24/16,4,0,0.3
9280,Aaron Harrison,PG,12/2/15,7,2,1.2
10436,Aaron Harrison,PG,1/20/16,3,0,1.3
11155,Aaron Harrison,PG,1/13/16,5,0,-1.8
15768,Aaron Harrison,PG,3/11/16,3,0,-0.3
17582,Aaron Harrison,PG,1/31/16,3,0,-0.8
18422,Aaron Harrison,PG,1/23/16,3,0,0
20170,Aaron Harrison,PG,1/16/16,4,0,0.3
20471,Aaron Harrison,PG,11/20/15,2,0,0.3
20779,Aaron Harrison,PG,12/7/15,4,0,-1
23842,Aaron Harrison,PG,12/11/15,4,3,2.7
24045,Aaron Harrison,PG,1/27/16,5,0,-1.1
24547,Aaron Harrison,PG,12/9/15,7,2,2.5
,Aaron Harrison Var,,,,2.528571429,
529,Adreian Payne,PF,3/18/16,6,0,1
580,Adreian Payne,PF,3/11/16,4,0,-1.9
745,Adreian Payne,PF,3/14/16,3,0,-1.1
784,Adreian Payne,PF,4/7/16,8,0,-3.3
1442,Adreian Payne,PF,3/2/16,8,0,-5.3
1631,Adreian Payne,PF,2/22/16,12,4,2.2
1992,Adreian Payne,PF,2/27/16,12,1,1.7
2133,Adreian Payne,PF,4/11/16,9,7,6
2311,Adreian Payne,PF,11/27/15,7,4,3.4
2910,Adreian Payne,PF,3/7/16,4,0,-0.7
2927,Adreian Payne,PF,3/4/16,10,4,-0.7
4185,Adreian Payne,PF,12/18/15,7,0,-0.7
4742,Adreian Payne,PF,3/30/16,11,0,0.9
4952,Adreian Payne,PF,4/13/16,6,2,0.6
5543,Adreian Payne,PF,2/24/16,7,2,1.3
5770,Adreian Payne,PF,3/5/16,8,7,4.5
5818,Adreian Payne,PF,2/28/16,21,7,5.8
5882,Adreian Payne,PF,2/8/16,11,2,0.4
6355,Adreian Payne,PF,11/12/15,1,0,0
6853,Adreian Payne,PF,12/21/15,8,0,1.2
7561,Adreian Payne,PF,12/13/15,1,0,0
10284,Adreian Payne,PF,2/10/16,8,2,0.9
10899,Adreian Payne,PF,3/8/16,21,6,4.5
11244,Adreian Payne,PF,11/25/15,16,8,7.6
11627,Adreian Payne,PF,2/19/16,10,0,0.4
11687,Adreian Payne,PF,2/2/16,7,2,1.7
11827,Adreian Payne,PF,1/17/16,3,2,2
11889,Adreian Payne,PF,12/26/15,10,6,4.3
12092,Adreian Payne,PF,4/3/16,14,4,2.2
12462,Adreian Payne,PF,11/29/15,8,0,-3.9
13612,Adreian Payne,PF,12/9/15,5,0,0.7
13626,Adreian Payne,PF,12/5/15,11,2,1.7
14008,Adreian Payne,PF,1/19/16,7,6,4.9
14094,Adreian Payne,PF,1/4/16,7,0,0.3
14115,Adreian Payne,PF,1/2/16,6,0,-2.1
14268,Adreian Payne,PF,11/18/15,16,0,-2.6
15365,Adreian Payne,PF,12/15/15,4,5,3.9
15644,Adreian Payne,PF,10/28/15,4,0,-0.7
16438,Adreian Payne,PF,12/20/15,17,0,-0.7
16582,Adreian Payne,PF,11/20/15,19,5,-0.5
16598,Adreian Payne,PF,11/10/15,20,10,9.6
17264,Adreian Payne,PF,11/7/15,4,2,-0.2
17855,Adreian Payne,PF,11/23/15,12,4,0.6
19116,Adreian Payne,PF,11/17/15,17,8,5.7
19346,Adreian Payne,PF,1/10/16,16,0,-3.3
