,Player,Age,Pos,Date,Tm,@,Opp,WL,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB
1,Klay Thompson,26-301,G,12/5/16,GSW,,IND,W,1,29,21,33,0.636,13,19,0.684,8,14,0.571,10,11,0.909,0,2,2
2,Russell Westbrook,28-115,G,3/7/17,OKC,,POR,L,1,36,21,39,0.538,18,30,0.6,3,9,0.333,13,16,0.813,1,2,3
3,DeMarcus Cousins,26-129,C-F,12/20/16,SAC,,POR,W,1,41,17,28,0.607,12,20,0.6,5,8,0.625,16,17,0.941,1,12,13
4,James Harden,27-127,G,12/31/16,HOU,,NYK,W,1,42,14,26,0.538,5,10,0.5,9,16,0.563,16,18,0.889,3,13,16
5,Jimmy Butler,27-110,G-F,1/2/17,CHI,,CHO,W,1,38,15,24,0.625,14,20,0.7,1,4,0.25,21,22,0.955,3,9,12
6,Isaiah Thomas,27-327,G,12/30/16,BOS,,MIA,W,1,37,15,26,0.577,6,13,0.462,9,13,0.692,13,13,1,1,1,2
7,John Wall,26-091,G,12/6/16,WAS,,ORL,L,1,42,18,31,0.581,13,23,0.565,5,8,0.625,11,14,0.786,1,3,4
8,James Harden,27-154,G,1/27/17,HOU,@,PHI,W,1,39,16,28,0.571,10,17,0.588,6,11,0.545,13,14,0.929,1,12,13
9,Russell Westbrook,27-351,G,10/28/16,OKC,,PHO,W,1,45,17,44,0.386,15,34,0.441,2,10,0.2,15,20,0.75,3,10,13
10,Anthony Davis,23-229,F-C,10/26/16,NOP,,DEN,L,1,41,17,34,0.5,17,32,0.531,0,2,0,16,17,0.941,1,14,15
11,Kyrie Irving,24-306,G,1/23/17,CLE,@,NOP,L,1,42,15,28,0.536,7,14,0.5,8,14,0.571,11,11,1,0,2,2
12,Damian Lillard,26-247,G,3/19/17,POR,@,MIA,W,1,36,14,21,0.667,5,9,0.556,9,12,0.75,12,12,1,0,1,1
13,Russell Westbrook,28-054,G,1/5/17,OKC,@,HOU,L,1,38,16,34,0.471,8,19,0.421,8,15,0.533,9,11,0.818,1,7,8
14,Russell Westbrook,28-111,G,3/3/17,OKC,@,PHO,L,1,38,14,30,0.467,11,18,0.611,3,12,0.25,17,18,0.944,1,16,17
15,Karl-Anthony Towns,21-015,F-C,11/30/16,MIN,,NYK,L,1,42,15,22,0.682,15,19,0.789,0,3,0,17,20,0.85,3,15,18
16,Russell Westbrook,28-091,G,2/11/17,OKC,,GSW,L,1,37,14,26,0.538,11,16,0.688,3,10,0.3,16,18,0.889,1,10,11
17,Andrew Wiggins,21-264,F-G,11/13/16,MIN,,LAL,W,1,41,14,21,0.667,12,16,0.75,2,5,0.4,17,22,0.773,1,3,4
